Number,Protocol,Source MAC,Destination MAC,Source IP,Destination IP,Data Length (bytes)
1234,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.238,54
1235,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.238,172.16.29.3,929
1236,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.238,172.16.29.3,1354
1237,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.238,54
1238,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.238,172.16.29.3,1354
1239,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.238,172.16.29.3,1354
1240,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.238,172.16.29.3,1354
1241,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.238,172.16.29.3,1354
1242,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.238,54
1243,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.238,172.16.29.3,1354
1244,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.238,172.16.29.3,1354
1245,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.238,172.16.29.3,1354
1246,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.238,172.16.29.3,527
1247,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.238,54
1248,UDP,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.238,1392
1249,UDP,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,192.168.100.4,75
1250,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.18.131,66
1251,UDP,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,192.168.100.4,172.16.29.3,112
1252,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.238,66
1253,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.131,172.16.29.3,66
1254,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.18.131,54
1255,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.18.131,631
1256,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.238,172.16.29.3,66
1257,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.238,54
1258,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.238,571
1259,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.238,172.16.29.3,1354
1260,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.238,172.16.29.3,1354
1261,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.238,54
1262,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.238,172.16.29.3,696
1263,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.238,172.16.29.3,472
1264,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.238,54
1265,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.238,172.16.29.3,93
1266,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.238,93
1267,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.131,172.16.29.3,60
1268,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.131,172.16.29.3,266
1269,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.131,172.16.29.3,60
1270,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.18.131,118
1271,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.238,172.16.29.3,60
1272,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.238,172.16.29.3,60
1273,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.238,172.16.29.3,60
1274,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.238,172.16.29.3,60
1275,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.18.131,172.16.29.3,618
1276,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.18.131,54
1277,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,172.217.169.238,314
1278,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.238,172.16.29.3,60
1279,HTTPS,10:0b:a9:50:ad:58,84:d4:7e:cb:84:f6,172.16.29.3,216.58.208.65,205
1280,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.238,172.16.29.3,1354
1281,HTTPS,84:d4:7e:cb:84:f6,10:0b:a9:50:ad:58,172.217.169.238,172.16.29.3,1354
